Model,TP,TP (%),TN,TN (%),FP,FP (%),FN,FN (%),F1,Test Accuracy,Avg. Per Label Accuracy,,,,,,,,,,,,,,,
/resnet152_pretrained_no_da_lbow.pt,44114,54.1,2184,2.68,5040,6.18,30198,37.04,7.94,0.0,56.78,,,,,,,,,,,,,,,
/resnet152_pretrained_no_da_Neck.pt,1728,42.19,552,13.48,264,6.45,1552,37.89,25.23,0.0,55.66,,,,,,,,,,,,,,,
/resnet152_pretrained_RandomCrop_lbow.pt,26950,33.05,4214,5.17,3010,3.69,47362,58.09,10.7,0.0,38.22,,,,,,,,,,,,,,,
/resnet152_pretrained_RandomCrop_Neck.pt,1608,39.26,336,8.2,480,11.72,1672,40.82,16.96,0.0,47.46,,,,,,,,,,,,,,,
/resnet152_pretrained_RandAug_lbow.pt,34160,41.9,3122,3.83,4102,5.03,40152,49.24,9.03,0.0,45.72,,,,,,,,,,,,,,,
/resnet152_pretrained_RandAug_Neck.pt,1136,27.73,656,16.02,160,3.91,2144,52.34,27.68,0.0,43.75,,,,,,,,,,,,,,,
/efficientnet_v2_s_pretrained_no_da_lbow.pt,39452,48.39,3178,3.9,4046,4.96,34860,42.75,8.91,0.0,52.28,,,,,,,,,,,,,,,
/efficientnet_v2_s_pretrained_no_da_Neck.pt,2032,49.61,416,10.16,400,9.77,1248,30.47,19.63,0.0,59.77,,,,,,,,,,,,,,,
/efficientnet_v2_s_pretrained_RandomCrop_lbow.pt,35378,43.39,3318,4.07,3906,4.79,38934,47.75,9.78,0.0,47.46,,,,,,,,,,,,,,,
/efficientnet_v2_s_pretrained_RandomCrop_Neck.pt,1744,42.58,368,8.98,448,10.94,1536,37.5,21.58,0.0,51.56,,,,,,,,,,,,,,,
/efficientnet_v2_s_pretrained_RandAug_lbow.pt,33614,41.23,2562,3.14,4662,5.72,40698,49.91,6.85,0.0,44.37,,,,,,,,,,,,,,,
/efficientnet_v2_s_pretrained_RandAug_Neck.pt,1472,35.94,560,13.67,256,6.25,1808,44.14,27.52,0.0,49.61,,,,,,,,,,,,,,,
/efficientnet_v2_m_pretrained_no_da_lbow.pt,37800,46.36,2702,3.31,4522,5.55,36512,44.78,8.72,0.0,49.67,,,,,,,,,,,,,,,
/efficientnet_v2_m_pretrained_no_da_Neck.pt,2424,59.18,216,5.27,600,14.65,856,20.9,12.41,1.56,64.45,,,,,,,,,,,,,,,
/efficientnet_v2_m_pretrained_RandomCrop_lbow.pt,30268,37.12,1680,2.06,5544,6.8,44044,54.02,4.95,0.0,39.18,,,,,,,,,,,,,,,
/efficientnet_v2_m_pretrained_RandomCrop_Neck.pt,1464,35.74,456,11.13,360,8.79,1816,44.34,23.91,0.0,46.88,,,,,,,,,,,,,,,
/efficientnet_v2_m_pretrained_RandAug_lbow.pt,42742,52.42,4200,5.15,3024,3.71,31570,38.72,10.11,0.0,57.57,,,,,,,,,,,,,,,
/efficientnet_v2_m_pretrained_RandAug_Neck.pt,2192,53.52,456,11.13,360,8.79,1088,26.56,20.84,0.0,64.65,,,,,,,,,,,,,,,
/efficientnet_v2_l_pretrained_no_da_lbow.pt,27818,34.12,4830,5.92,2394,2.94,46494,57.02,11.5,0.0,40.04,,,,,,,,,,,,,,,
/efficientnet_v2_l_pretrained_no_da_Neck.pt,2152,52.54,240,5.86,576,14.06,1128,27.54,15.53,1.56,58.4,,,,,,,,,,,,,,,
/efficientnet_v2_l_pretrained_RandomCrop_lbow.pt,34356,42.14,2800,3.43,4424,5.43,39956,49.0,8.25,0.0,45.57,,,,,,,,,,,,,,,
/efficientnet_v2_l_pretrained_RandomCrop_Neck.pt,1648,40.23,296,7.23,520,12.7,1632,39.84,18.44,0.0,47.46,,,,,,,,,,,,,,,
/efficientnet_v2_l_pretrained_RandAug_lbow.pt,42938,52.66,2968,3.64,4256,5.22,31374,38.48,9.19,0.0,56.3,,,,,,,,,,,,,,,
/efficientnet_v2_l_pretrained_RandAug_Neck.pt,824,20.12,504,12.3,312,7.62,2456,59.96,23.85,0.0,32.42,,,,,,,,,,,,,,,
